歌手名字,许嵩
411214279,雅俗共赏
167876,有何不可
167827,素颜
167655,幻听
28854182,惊鸿一面
167870,如果当时
167850,庐州月
167937,断桥残雪
167882,清明雨上
27646687,玫瑰花的葬礼
167873,多余的解释
167691,天龙八部之宿敌
167844,灰色头像
5255987,你若成风
167885,城府
167744,半城烟沙
167732,千百度
554191378,我乐意
412902950,最佳歌手
167903,我想牵着你的手
28802028,山水之间
569213279,大千世界
402073807,燕归巢
573384240,如约而至
167841,叹服
34040693,千古
448144319,今年勇
1327456179,绝代风华
167888,认错
167679,全球变冷
28953350,七夕
862099032,明智之举
167705,想象之中
415792563,摄影艺术
167712,拆东墙
557584658,老古董
428095913,江湖
521415426,蝴蝶的时间
167709,河山大好
167715,医生
167968,飞蛾
167894,星座书上
167786,南山忆
418603441,平行宇宙
167727,降温
167752,伤声
465677131,深夜书店
167891,内线
27646697,浅唱
28952258,弹指一挥间
歌手名字,阿宝
59893,老爸老妈
513356476,一路歌唱
30621678,农业重金属
27902775,为你跑成罗圈腿
513356469,爱你在心口难开
513363419,妹妹的山丹花
28196425,山丹丹花开红艳艳
28196412,兰花花
399953033,天天有喜
59921,青藏高原
513356486,十送红军
513360424,大姑娘美
59967,赶牲灵
28196454,走西口
59971,疙梁梁
1354208964,山那边
513363415,九九艳阳天
513357450,南泥湾
33735146,纠结
28798776,我们一起回家
513360428,民歌连唱
513357444,山沟沟
27902777,绣金匾
28196406,高楼万丈平地起
513357454,小妹妹就爱哥哥坏
513360431,泪蛋蛋
513357449,花儿与少年
27902776,想起我你是否泪流满面
513363410,草原舞曲
513357452,想延安
30474516,人生歌
513356482,歌声飞出山沟沟
513356488,心愿
513363418,满山红叶似彩霞
513357448,放歌山西
513363429,大地飞歌
513360426,梨花又开放
513357447,翻身道情
28196408,圪梁梁
513356470,第一次见到你
1379444490,火火的歌
1339750918,那年青春
27902774,青春卡巴那
528273328,想亲亲
528273324,大拜年
1355167900,看秧歌
513356498,我热恋的故乡
1372537911,想着你
513360423,唱出我和你
513356471,金色的晚霞中
歌手名字,阿吉仔
61701,命运的吉他
5270996,歹竹出好笋
61757,吞落去
60933,同心行同路
61676,心事谁人知
61495,好歹拢是命
61574,将心比心
5271016,命运的吉它
61747,男性的本领
61708,后悔的目屎
61113,歹命囝仔
61297,奋斗
60935,爱着打死呒退
61718,何必为着伊
61569,浪子的忏悔
61646,母亲
60937,一生何用
61704,涮涮去
61662,流浪
61533,输人不输阵
61672,香港恋情
61651,爱情的力量
60943,人生几何
61510,天地有情
61493,爽就免歹势
60945,你好不好
1351101788,痕迹
61452,问天
61525,江湖泪
61230,漂泊的笑容
61665,命运莫怨天
61602,人在江湖
61578,风雨的人生
61528,落魄免怨叹
61490,无名的歌
61497,爱的犹原是你
61503,笑笑江湖行
61516,月圆心缺角
61250,一只鸟仔
61253,心酸酸
61256,思念故乡
61259,春花梦露
61261,双雁影
61262,河边春梦
61263,青春悲喜曲
61264,南都夜曲
61266,孤恋花
61268,满山春色
61275,望你早归
61208,为何这款命
歌手名字,包朝克
62589,达古拉
62587,嘎达梅林
62616,草原上升起不落的太阳
62601,蒙古人
62473,乌兰巴托之夜
62607,牧羊曲
62433,赞歌
62585,远飞的大雁
62470,敖包相会
62612,美丽草原我的家
62531,乌兰巴托之夜
62482,燕子
62598,牧羊姑娘
62592,森吉德玛
62604,万马奔腾
62458,草原
62445,我和草原有个约定
62503,父亲草原母亲河
62516,天路
62537,鸿雁
62472,我的根在草原
62614,我爱祖国的大草原
62522,天堂
62595,田野静悄悄
62442,在那遥远的地方
62454,我从草原
62463,乌苏里船歌
62610,草原晨曲
62475,雕花的马鞍
62465,爱情故事
62488,橄榄树
62484,牧羊姑娘
62493,高原红
62448,风吹草原
62461,雪绒花
62477,草原之夜
62491,映山红
62509,天边
62451,在银色的月光下
62506,月亮河
62527,窗外
62438,绒花
62480,祝酒歌
62435,草原晨曲
62533,牵手
62524,在水一方
62520,绒花
62486,小路
62529,偶然
1298485971,在那遥远的地方
歌手名字,范星光
551335402,猜不透
551337396,你曾说过你会永远爱我
543965174,忽然发现
34017332,宝贝别哭了
551335404,伤心总是难免的
543965420,想告诉你我爱你胜过我自己
551335396,就想赖着你
1376647951,过了许多年
1376647962,如果你不爱我就离开我
1376647964,我想和你白头到老
1376653254,爱你一生到永久
1376653255,可不可以不分手
1376653261,老公你瘦了
1376653271,我们一生承诺的爱情
1376653286,洗脸刷牙吃早餐
1376653303,一万个不爱的理由
1376653308,珍惜现在的光阴
543965416,错爱你
543965417,如果你真的爱我就不会让我难过
543965418,我不在乎你曾经爱过谁
543965419,爱的记号
543965421,忘了告诉你
543965422,不知道离开我以后你过的好不好
34017328,孤单的恋人
34017329,我们都一样
34017330,就是喜欢你
34017331,爱情的答案
34017333,如果你爱我请你嫁给我
504454326,对你一天一天的想念
543965170,不是不爱你只是伤不起
543965171,不期而遇
545589169,老朋友好久不见了
543965172,曾经
545590196,爱的防备
543965173,我爱你不一定需要你爱我
545590197,我们的青春不散场
545590198,下次见你就表白
543965176,最后一次拥抱
545591183,假装不爱了
543965178,逝去的青春
545592186,老公老婆永远陪在身边
545589182,缘分在哪里
545589183,爱你永远都不变
545589184,寂寞倒数
545590207,不要再来伤害我
545590208,爱情骗子
545590209,我爱你爱到骨头里
545591187,用情最深的人
545591190,曾为你走在雨里
545592200,经典冬日激情
歌手名字,冯伟棠
331772,情如叶垂千万缕
84145,唐伯虎点秋香
84056,风飘飘
84358,分飞燕
84334,柔情蜜意
84337,碎心人
84340,送别
84346,碎心恋
84348,何日再会卿
84355,双星情歌
84362,禅院钟声
84365,热带情歌
84368,我爱紫罗兰
84179,在你与我之间
84185,饮杯饮杯饮杯胜
84188,人生多变幻
84191,珍惜好时光
84194,飘零梦
84200,遗言
84203,天赐良缘
84097,一刻千金
84099,盼望
84102,两派相争
84106,有心未怕迟
84110,情人相见欢
84114,武林情侣
84117,少林英杰
84120,蜜语绵绵
84122,为了他
84124,爱花人
84127,流浪
84139,心锁
84142,难求知心郎
84148,民族大义
84151,苏州河边
84154,爱花情果
84156,侠客行
84158,重逢
84160,忏情
84163,日夜怀念你
84166,开香堂歌
84059,挽手向前行
84061,愿能你你梦
84066,不怕风雨多
84070,幻影
84073,永远不孤单
84076,进步
84079,志在四方
84082,月下盟誓
84085,年青人世界
歌手名字,高向鹏
90011,人生路
90075,世间人
89994,牵手
90080,一生情一世爱
267254,查某人的心
89991,连杯酒
5245562,你是我的兄弟
89919,月圆
83471,大庙口
89898,情难了
89981,世间事
89944,问世间
90035,相逢
267207,千山万水
1332891990,免忧愁
89931,心爱请保重
89996,缘份
83466,大头仔兄弟
89929,我乎你靠
89917,扶持
89921,温柔
89924,红尘缘
90014,心爱的
89915,人甲人
89947,错乱
89951,黄昏
90005,爱你袂变心
89927,爱的歌诗
90008,大家拢治这
89933,永远伴相随
90016,一张相片
89935,无条件的爱情
89977,出外人生
90020,尚深的记忆
90023,看破
89988,福气啦
90024,情泪
89997,白发情
89998,心路
89999,放袂落的爱
90090,唱歌喝酒
90105,梦都市
90118,敬爱一杯
90122,一生袂分离
34057679,浪子的锁链
1332711317,回心转意
1332711318,欢喜乃夜市
1332711319,素兰小姐
